name,url
javaee-glassfish,https://github.com/javaee/glassfish.git
ee4j-glassfish,https://github.com/eclipse-ee4j/glassfish.git
resourceSync,https://github.com/han-feng/resourceSync.git
modular,https://github.com/han-feng/modular.git
